iter	Passed	Remaining
486	696	733
487	697	731
488	698	730
489	699	728
490	701	726
491	702	724
492	703	722
493	704	721
494	705	719
495	707	718
496	710	718
497	711	717
498	712	715
499	714	714
500	716	713
501	717	711
502	718	710
503	720	709
504	722	707
505	723	706
506	725	705
507	726	703
508	728	702
509	729	700
510	730	699
511	732	697
512	733	696
513	735	695
514	736	693
515	737	692
516	739	690
517	740	689
518	741	687
519	742	685
520	743	683
521	744	681
522	745	680
523	747	679
524	748	677
525	749	675
526	750	673
527	752	672
528	754	671
529	755	670
530	757	668
531	758	667
532	760	666
533	761	664
534	762	663
535	764	661
536	765	660
537	766	658
538	767	656
539	769	655
540	770	653
541	771	652
542	772	650
543	774	649
544	775	647
545	776	645
546	778	644
547	780	643
548	781	641
549	782	640
550	783	638
551	785	637
552	786	635
553	787	634
554	788	632
555	789	630
556	790	628
557	791	627
558	792	625
559	794	624
560	795	622
561	797	621
562	798	619
563	800	618
564	801	616
565	802	615
566	803	613
567	804	611
568	806	610
569	807	609
570	809	607
571	810	606
572	812	605
573	813	604
574	815	602
575	817	601
576	819	600
577	820	599
578	822	597
579	823	596
580	825	595
581	827	594
582	828	592
583	829	590
584	830	589
585	833	588
586	835	587
587	837	587
588	839	585
589	841	584
590	842	583
591	844	581
592	845	580
593	847	579
594	849	578
595	850	576
596	852	575
597	853	573
598	854	572
599	856	570
600	858	569
601	860	568
602	862	567
603	865	567
604	866	565
605	867	563
606	868	562
607	869	560
608	871	559
609	872	557
610	873	556
611	874	554
612	877	553
613	878	552
614	879	550
615	880	549
616	882	547
617	883	546
618	885	545
619	887	543
620	888	542
621	889	540
622	890	538
623	892	537
624	893	536
625	895	535
626	897	533
627	898	532
628	900	531
629	902	529
630	904	528
631	905	527
632	907	525
633	908	524
634	910	523
635	911	521
636	913	520
637	914	518
638	916	517
639	917	516
640	919	514
641	921	513
642	922	512
643	924	510
644	925	509
645	926	507
646	927	506
647	928	504
648	930	503
649	931	501
650	933	500
651	935	499
652	936	497
653	938	496
654	939	494
655	941	493
656	942	492
657	943	490
658	945	489
659	946	487
660	948	486
661	950	485
662	952	483
663	953	482
664	955	481
665	956	479
666	957	478
667	959	476
668	962	476
669	963	474
670	965	473
671	966	471
672	967	470
673	969	468
674	970	467
675	971	465
676	972	464
677	973	462
678	975	461
679	976	459
680	978	458
681	980	456
682	981	455
683	982	453
684	983	452
685	985	450
686	986	449
687	987	448
688	989	446
689	991	445
690	992	443
691	994	442
692	995	441
693	997	439
694	999	438
695	1000	436
696	1001	435
697	1002	433
698	1004	432
699	1006	431
700	1008	429
701	1009	428
702	1010	426
703	1012	425
704	1013	424
705	1014	422
706	1016	421
707	1017	419
708	1018	418
709	1020	416
710	1021	415
711	1023	414
712	1025	412
713	1026	411
714	1028	409
715	1030	408
716	1031	407
717	1032	405
718	1033	403
719	1034	402
720	1035	400
721	1037	399
722	1038	397
723	1040	396
724	1041	395
725	1043	393
726	1044	392
727	1045	390
728	1047	389
729	1048	387
730	1050	386
731	1051	385
732	1053	383
733	1054	382
734	1055	380
735	1056	379
736	1058	377
737	1059	376
738	1061	374
739	1062	373
740	1063	371
741	1065	370
742	1067	369
743	1068	367
744	1069	366
745	1070	364
746	1072	363
747	1073	361
748	1074	360
749	1075	358
750	1076	357
751	1077	355
752	1079	353
753	1080	352
754	1081	350
755	1083	349
756	1085	348
757	1086	346
758	1089	345
759	1091	344
760	1092	343
761	1094	341
762	1095	340
763	1096	338
764	1097	337
765	1099	335
766	1100	334
767	1101	332
768	1102	331
769	1104	329
770	1105	328
771	1106	326
772	1107	325
773	1108	323
774	1110	322
775	1110	320
776	1112	319
777	1114	317
778	1115	316
779	1116	314
780	1117	313
781	1118	311
782	1119	310
783	1120	308
784	1121	307
785	1122	305
786	1123	304
787	1124	302
788	1125	301
789	1126	299
790	1128	298
791	1129	296
792	1130	295
793	1132	293
794	1133	292
795	1135	290
796	1136	289
797	1138	288
798	1139	286
799	1140	285
800	1141	283
801	1143	282
802	1144	280
803	1145	279
804	1147	278
805	1149	276
806	1150	275
807	1152	273
808	1153	272
809	1154	270
810	1155	269
811	1156	267
812	1157	266
813	1158	264
814	1160	263
815	1161	261
816	1162	260
817	1163	258
818	1164	257
819	1165	255
820	1167	254
821	1169	253
822	1170	251
823	1171	250
824	1173	248
825	1174	247
826	1176	246
827	1177	244
828	1178	243
829	1179	241
830	1180	240
831	1181	238
832	1183	237
833	1184	235
834	1186	234
835	1187	233
836	1189	231
837	1190	230
838	1192	228
839	1193	227
840	1195	225
841	1196	224
842	1198	223
843	1200	221
844	1201	220
845	1203	219
846	1205	217
847	1207	216
848	1209	215
849	1211	213
850	1212	212
851	1213	210
852	1214	209
853	1216	207
854	1217	206
855	1218	205
856	1220	203
857	1221	202
858	1223	200
859	1224	199
860	1225	197
861	1227	196
862	1229	195
863	1230	193
864	1232	192
865	1233	190
866	1235	189
867	1236	187
868	1237	186
869	1238	185
870	1240	183
871	1241	182
872	1242	180
873	1243	179
874	1245	177
875	1246	176
876	1247	175
877	1249	173
878	1250	172
879	1251	170
880	1252	169
881	1253	167
882	1254	166
883	1256	164
884	1256	163
885	1258	161
886	1260	160
887	1262	159
888	1263	157
889	1265	156
890	1266	154
891	1268	153
892	1270	152
893	1271	150
894	1272	149
895	1273	147
896	1274	146
897	1276	144
898	1277	143
899	1279	142
900	1280	140
901	1282	139
902	1284	137
903	1285	136
904	1286	135
905	1287	133
906	1289	132
907	1290	130
908	1292	129
909	1294	127
910	1295	126
911	1296	125
912	1297	123
913	1299	122
914	1300	120
915	1301	119
916	1303	117
917	1304	116
918	1306	115
919	1307	113
920	1308	112
921	1310	110
922	1312	109
923	1313	108
924	1315	106
925	1316	105
926	1317	103
927	1318	102
928	1319	100
929	1321	99
930	1322	98
931	1323	96
932	1324	95
933	1325	93
934	1326	92
935	1328	90
936	1329	89
937	1330	87
938	1332	86
939	1334	85
940	1335	83
941	1337	82
942	1338	80
943	1339	79
944	1341	78
945	1342	76
946	1344	75
947	1345	73
948	1346	72
949	1347	70
950	1348	69
951	1349	68
952	1351	66
953	1352	65
954	1353	63
955	1355	62
956	1357	60
957	1358	59
958	1359	58
959	1361	56
960	1362	55
961	1363	53
962	1365	52
963	1366	51
964	1367	49
965	1368	48
966	1369	46
967	1370	45
968	1371	43
969	1373	42
970	1375	41
971	1376	39
972	1378	38
973	1379	36
974	1381	35
975	1383	34
976	1384	32
977	1386	31
978	1388	29
979	1390	28
980	1391	26
981	1392	25
982	1394	24
983	1395	22
984	1397	21
985	1398	19
986	1399	18
987	1400	17
988	1401	15
989	1402	14
990	1404	12
991	1405	11
992	1406	9
993	1408	8
994	1409	7
995	1410	5
996	1411	4
997	1413	2
998	1415	1
999	1417	0
